70	30	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
563	1415	1065	782	135	491	208	668	1519	1896	1572	800	961	1441	1922	582	1196	1982	488	705	1018	873	1885	999	1457	373	30	655	1543	366	1169	935	1054	941	945	219	398	1931	1451	1483	630	1855	204	339	1227	763	1341	1206	1748	1736	1774	889	1802	1372	1263	1581	651	1489	1285	1861	2026	1055	1406	1017	2051	675	1	1235	1725	1615	1540	975	1109	2024	1557	1455	1888	1288	1183	136	167	664	2032	380	1001	731	193	115	829	2029	851	1776	249	41	1025	1149	562	1665	341	1976	1852	1105	327	1099	2059	1524	539	1271	1379	1744	1645	729	90	1897	1231	1597	791	1596	2036	970	785	1579	387	1629	1267	817	1508	1691	828	818	1658	639	1653	197	989	1690	484	1591	915	516	189	40	273	678	608	1521	346	1278	31	459	749	627	1104	1559	495	2053	2058	1934	770	930	1222	661	1599	1444	1838	1613	727	1101	2088	130	1386	1499	2014	803	1477	694	200	1606	1156	331	1304	1567	707	723	1354	1989	1225	669	2074	824	21	929	1402	973	1584	463	126	1684	1323	634	940	1465	1825	298	1284	1107	1035	728	1562	181	1449	810	57	45	934	513	1358	455	161	1987	1803	660	1696	1973	1283	1252	412	1789	683	1815	1218	1125	540	1187	1030	430	681	530	1181	1760	1538	440	2039	416	103	662	1130	1047	1705	119	1908	1724	959	1195	233	840	56	149	726	710	1663	671	1531	1420	2009	1839	1936	1108	70	397	206	1357	976	1080	1673	719	1548	1520	1738	1593	505	300	2079	1078	1507	1084	276	2075	1164	1542	617	247	924	953	733	1326	492	287	646	150	1166	1048	499	1161	176	295	843	318	385	1867	1333	968	2048	1312	1380	744	321	573	784	1290	1506	230	962	1990	542	1461	192	146	1375	1114	1384	1627	443	1325	842	1902	870	2084	2022	691	377	1193	448	687	1236	1194	2072	1513	1275	330	610	446	614	1335	1816	555	781	105	1739	1205	693	1067	157	1172	1174	418	2049	722	812	1448	1944	256	885	1914	360	1729	1698	1479	816	290	1389	127	920	1978	478	1232	48	765	487	1904	1983	1417	894	408	1719	139	1293	1675	154	972	325	99	1652	1871	329	916	1460	917	1630	1011	1289	1041	876	814	541	593	1574	2012	129	506	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
0	1	2	3	1	3	1	1	1	3	0	0	1	2	3	2	3	0	2	1	0	1	4	3	1	4	2	3	0	1	1	0	3	1	1	3	3	1	1	1	0	1	0	2	2	4	2	0	0	1	1	2	1	3	3	0	3	3	1	2	1	1	2	1	0	1	3	2	2	2	0	1	1	4	3	1	1	1	4	1	1	1	3	4	3	0	4	1	4	0	3	3	3	1	1	1	3	2	1	1	1	4	1	1	3	1	1	3	1	4	1	1	3	3	1	1	1	1	4	4	3	1	2	4	0	1	1	3	0	1	1	1	1	1	0	0	1	1	3	1	4	2	4	1	1	1	4	2	3	3	1	4	1	3	3	3	3	1	3	2	4	1	2	1	0	3	3	0	0	1	2	0	4	0	3	1	1	4	0	4	2	3	2	3	1	3	1	1	1	1	3	3	3	1	1	2	2	3	4	3	1	2	2	1	3	1	3	3	1	1	3	1	2	1	4	2	3	3	4	3	1	2	3	2	2	0	4	2	0	1	2	0	1	1	1	1	1	1	0	2	1	3	3	1	3	3	3	4	0	1	1	1	4	3	3	3	1	3	2	3	1	2	1	1	2	3	1	1	3	1	1	3	1	0	1	3	1	1	4	4	3	3	4	0	2	0	2	1	1	0	1	0	3	1	0	1	3	3	1	3	1	4	0	2	1	0	3	2	4	1	0	1	3	1	4	3	3	3	4	3	1	2	1	3	4	1	1	3	1	0	4	3	0	4	3	3	3	0	0	1	4	1	2	4	2	3	4	1	1	1	2	1	2	3	4	0	3	1	1	1	4	4	0	1	4	4	0	3	1	1	2	1	2	2	3	3	3	4	1	2	1	0	3	0	2	2	1	1	1	3	3	2	0	1	1	1	0	4	3	1	4	0	1	3	3	1	4	3	3	1	1	3	1	1	1	3	1	0	4	4	
1701	1933	180	1758	963	1756	1025	1939	1450	1827	1744	989	1724	2074	355	462	10	808	325	1097	36	1517	833	152	890	551	391	1550	648	1243	1518	1713	1548	2006	1448	77	150	1378	1379	1792	539	1516	1704	2072	322	764	179	718	1774	960	1095	319	1659	1621	13	1396	1690	1760	1935	185	1384	1098	186	1804	586	2079	8	183	252	461	1926	1031	1029	482	1407	1103	1595	1164	830	1512	1239	1666	145	1042	1409	605	831	1376	758	342	284	1974	214	1736	1524	1583	1901	534	1940	1373	1796	546	1938	1386	144	1522	1660	1689	1653	1040	1100	1375	79	218	1242	1523	1936	1385	1113	408	1969	1728	320	828	96	1798	1658	1545	1818	1093	1444	1794	1800	1802	1075	914	1454	1591	1893	962	829	250	411	2008	1941	1521	972	393	149	1410	958	691	1241	1687	1830	1825	1833	1655	7	40	692	1313	464	1656	1581	12	1831	1875	1929	1382	463	736	970	815	220	1873	1943	621	159	548	182	146	178	1970	1244	1551	1654	1730	1585	1734	1692	1480	1408	1172	1937	115	2070	9	969	1965	1099	395	465	1305	2042	1452	285	1973	1795	1863	1549	1515	45	1797	968	326	1617	1476	687	2036	2078	39	4	2000	2001	744	549	248	203	1665	2003	1650	1587	1942	959	1096	1381	1663	626	41	1597	151	5	1174	1823	1832	1964	832	141	1732	1722	2010	688	1899	1972	2038	1315	73	2002	1966	47	42	1456	1527	460	1552	1237	1871	290	1652	1801	6	2081	372	1661	2040	2080	1520	547	619	216	1547	762	1371	113	719	2004	2012	1377	720	1374	114	1684	1380	33	1102	1897	1971	1791	1686	1726	690	603	321	1033	37	1685	111	480	1589	1357	1101	1824	1525	407	1339	3	1762	623	286	1238	38	1383	1691	973	1793	1867	1968	1307	1788	689	1829	2065	478	1828	1826	1406	897	1468	1869	617	1526	530	550	324	1895	552	1240	1235	892	466	1236	181	1619	974	520	1967	1865	1234	1309	901	410	1856	1519	903	971	1257	75	1166	1803	254	1593	389	43	1615	1688	1754	339	1799	109	1662	679	11	1584	184	44	1094	1170	2082	147	287	323	1746	1667	1934	961	1673	693	1963	1664	409	1064	1657	1903	1546	1168	760	2034	81	2077	1446	148	1514	2076	1311	1478	1513	187	899	1044	
1	4	4	3	2	3	3	4	3	4	1	1	3	3	3	4	2	1	4	4	1	2	2	4	3	2	3	2	1	2	4	1	2	3	3	3	4	2	4	4	1	4	1	3	2	3	2	1	1	4	4	4	4	3	4	1	4	3	4	2	2	2	4	4	1	2	2	2	3	2	1	3	3	3	2	4	3	3	4	4	2	2	2	3	2	1	2	2	3	1	2	4	3	3	4	3	3	3	2	4	4	4	2	2	4	4	2	2	4	3	2	4	3	3	4	2	2	4	2	2	2	3	2	4	1	4	2	4	1	4	3	4	4	4	1	1	3	3	3	4	2	3	4	3	4	2	2	3	2	4	4	4	2	2	2	4	4	4	4	2	2	3	4	2	1	2	4	1	1	2	2	1	2	1	3	3	4	3	1	4	4	4	4	4	4	4	2	3	3	3	4	3	4	3	4	3	3	4	4	2	4	3	2	3	3	3	4	2	2	3	4	2	4	2	2	2	3	3	4	3	4	4	2	4	2	1	2	3	1	4	2	1	3	2	2	2	4	4	1	4	3	2	4	3	4	2	4	4	1	3	3	3	2	3	4	3	3	3	4	4	3	2	3	2	4	2	2	3	2	2	2	2	2	1	4	3	4	4	2	3	3	4	3	1	3	1	4	3	4	1	2	1	4	2	1	2	3	2	2	4	3	2	1	4	3	1	2	3	3	3	1	4	2	2	4	3	4	3	3	2	4	2	4	2	4	2	3	4	3	1	4	4	1	3	2	2	4	1	1	3	3	4	3	4	2	3	4	4	2	3	4	4	2	3	2	1	2	3	4	3	3	2	1	2	3	4	1	3	3	2	3	3	3	4	3	4	3	3	2	3	2	1	4	1	4	2	2	3	4	2	4	4	1	4	2	2	1	4	2	2	4	1	4	3	2	3	3	3	3	2	3	4	4	4	3	3	2	1	3	3	
1	2	3	1	2	1	2	2	2	1	2	0	2	0	0	3	1	1	1	2	1	2	2	1	2	2	3	1	1	2	2	3	1	2	2	1	1	2	2	0	2	2	0	2	3	2	3	0	2	2	0	3	2	1	2	2	1	1	2	2	2	2	2	2	0	2	1	3	3	3	0	2	2	2	1	0	2	2	2	0	2	2	0	1	1	2	2	2	2	2	2	2	1	2	2	1	1	0	2	3	2	2	2	1	3	2	2	1	2	2	2	2	1	0	2	2	2	2	2	2	1	2	3	2	1	2	2	1	2	0	3	2	2	2	2	0	2	2	1	2	2	3	0	2	2	2	2	3	1	3	2	2	2	1	1	1	0	2	1	0	0	2	0	2	2	1	1	2	2	2	3	2	0	2	1	2	2	2	2	2	3	0	0	1	2	1	2	2	2	2	1	1	1	2	2	2	1	1	2	1	2	2	2	2	1	2	2	0	2	1	1	2	2	2	2	3	1	1	2	1	2	2	0	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	3	2	0	1	2	2	1	0	2	1	2	2	2	2	1	1	1	2	0	0	1	2	3	2	2	2	0	2	2	2	0	2	1	2	2	2	1	2	2	0	2	0	1	2	2	3	2	2	2	2	2	1	0	0	2	2	2	1	1	0	1	2	2	0	3	2	2	1	3	2	2	3	2	2	2	2	0	1	3	0	0	2	3	2	1	2	2	2	1	2	0	0	1	1	2	1	1	1	2	2	2	2	2	1	0	3	1	0	2	2	0	0	2	3	1	2	2	1	2	0	2	2	2	0	2	2	2	2	0	2	2	3	2	3	3	1	1	1	2	2	0	2	2	1	0	3	2	0	2	2	0	0	3	2	2	0	2	2	2	1	2	2	1	2	2	1	2	2	1	1	2	2	1	2	2	2	1	2	2	0	0	
1834	198	180	1758	751	1756	1303	1939	1450	1827	339	1683	1724	115	2059	462	10	1975	13	1097	1551	1517	263	1410	890	329	391	1550	220	1243	1518	44	1548	2006	1448	77	150	1378	1379	45	957	1516	842	1234	322	1807	179	1147	121	960	88	319	1659	1339	192	2014	1690	1760	1935	122	1384	1098	266	1804	282	2079	8	183	252	461	701	1031	1029	547	1407	1394	1595	261	265	1094	1239	1666	590	218	1409	888	196	1376	257	259	331	260	1545	1736	1524	2044	1901	996	1940	530	1796	819	1938	1693	464	1522	1660	1689	1653	1944	1100	1375	79	1334	1242	1523	1936	1385	2082	2084	1969	1728	320	817	1337	1798	1658	1684	1875	2066	318	1794	1800	1802	1444	1332	1454	1591	1964	962	333	250	239	2008	1941	1521	51	393	149	178	958	1945	1241	1687	1830	1825	1285	1655	7	1357	481	1313	1472	1656	1863	12	1831	1877	262	1382	463	1527	1886	337	151	1873	1943	123	1792	548	182	926	569	1970	1244	1621	1654	1730	1585	1734	1692	1480	1408	1172	1937	550	1823	9	1808	1965	1099	1946	2016	1305	2042	1452	956	1061	1795	1903	1549	1515	407	1797	892	325	1617	1476	2085	2036	2078	2004	2047	1373	1934	1027	549	248	188	1665	194	1374	1587	1942	959	1096	1381	1663	758	41	1597	1198	5	1174	258	1832	105	268	1833	1732	1583	2010	688	1899	1972	2038	1315	1982	1864	1966	116	42	1456	117	267	1304	1237	1871	1233	46	1801	6	2081	1095	1661	2040	2080	1520	1810	619	1926	1547	617	1232	113	1513	822	2012	1377	119	1974	870	939	1380	546	1102	1897	1971	1773	1686	1726	1458	2049	321	1033	2075	1685	111	480	1589	460	1101	1512	1525	820	1916	1893	532	191	500	1238	2072	1383	1691	1103	1793	1867	1968	1307	1577	57	1829	1973	478	1828	1826	1406	687	47	1869	818	1526	1824	344	324	1895	1259	1240	1235	993	538	1236	181	1619	53	689	1967	1865	2074	1309	264	1806	704	1519	118	1738	1805	1983	1166	1803	254	1593	389	43	1615	1688	1754	190	1799	1298	1662	2083	11	1836	184	821	144	1170	749	1143	745	323	335	408	1680	961	1668	1667	1762	1664	409	152	1657	49	1546	1168	1528	2034	81	2077	1446	148	1514	2076	1311	1478	1933	120	1389	1255	
2	3	4	3	3	3	3	4	3	4	3	1	3	1	1	4	2	2	4	4	4	2	2	4	3	3	3	2	3	2	4	2	2	3	3	3	4	2	4	1	2	4	1	4	2	2	2	1	4	4	1	4	4	3	3	3	4	3	4	2	2	2	4	4	1	2	2	2	3	2	1	3	3	2	2	1	3	2	2	1	2	2	1	3	2	3	3	2	2	2	3	4	4	3	4	3	3	1	2	3	4	4	2	2	4	4	2	2	4	2	2	4	3	1	4	2	2	4	4	4	2	3	2	4	3	4	2	4	3	1	2	4	4	4	3	1	3	3	4	4	3	3	1	3	4	2	3	3	2	4	4	4	2	2	2	4	1	4	4	1	1	3	1	2	3	2	4	3	4	2	2	2	1	3	2	3	4	4	4	4	4	1	1	4	4	3	2	3	3	3	4	3	4	3	4	4	4	4	4	2	4	2	3	3	3	3	4	1	2	3	4	2	4	2	3	4	3	3	2	3	4	3	1	4	2	3	2	3	3	4	3	2	3	2	2	2	4	4	3	4	3	1	4	3	4	2	1	4	4	3	3	3	2	3	4	3	3	1	1	4	2	2	3	4	2	1	2	3	2	1	2	2	2	4	4	3	4	4	1	3	1	4	3	4	3	2	2	3	4	4	4	1	1	2	4	2	3	2	1	4	3	3	1	4	3	2	2	3	3	3	4	4	4	2	2	1	3	3	1	1	4	3	4	2	4	2	3	4	3	1	1	4	2	3	2	2	4	4	3	3	2	4	2	1	2	3	1	4	2	1	1	4	2	3	3	4	2	3	1	3	4	4	1	2	2	3	2	1	3	2	3	3	3	4	3	4	3	3	2	1	2	2	4	1	4	4	1	3	3	1	1	4	3	2	1	2	2	4	3	2	4	4	4	3	2	3	4	3	3	2	3	4	4	4	3	3	4	2	1	1	
1	2	2	1	2	1	0	2	2	1	2	0	2	3	0	2	1	1	1	2	1	2	2	1	2	2	0	1	1	2	2	3	1	2	2	1	0	2	2	3	3	2	0	1	3	2	0	2	2	2	2	2	2	0	2	2	1	1	2	2	2	2	2	2	1	2	1	3	3	2	1	2	2	2	0	2	2	2	2	3	2	2	2	1	1	2	2	2	0	2	2	2	1	2	2	2	1	2	2	2	2	2	2	0	2	2	2	1	2	2	2	2	1	0	2	2	2	2	2	2	1	2	0	1	0	2	2	0	2	3	2	2	2	2	2	0	2	2	1	2	2	3	1	2	2	2	2	0	1	0	2	2	2	1	1	1	1	2	1	0	2	2	0	2	2	1	1	2	2	2	2	2	0	0	0	2	2	2	1	0	3	2	2	1	2	1	2	2	2	2	1	1	1	2	2	0	2	1	2	1	2	2	2	2	1	2	1	0	2	1	1	2	0	2	2	0	1	1	2	1	2	2	3	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	1	0	0	1	2	2	2	2	1	1	1	2	3	2	1	2	3	2	2	0	0	2	2	1	3	2	0	2	2	2	1	2	2	0	2	1	1	2	2	3	1	2	2	2	2	1	1	1	2	3	2	1	1	1	1	2	2	1	3	2	2	0	3	1	2	2	2	0	2	2	2	1	2	0	0	2	0	2	1	2	2	2	1	2	1	2	1	1	2	1	1	1	2	2	2	2	2	3	2	0	1	2	2	1	0	1	2	3	1	2	0	1	2	0	2	2	2	2	2	2	2	2	1	2	2	2	2	0	3	1	1	1	2	2	2	2	2	1	2	3	2	1	2	1	3	0	3	2	0	0	2	3	2	1	2	2	1	2	2	3	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	
