70	30	
1	1	2	3	1	0	0	1	1	1	1	1	1	1	1	1	1	2	2	1	3	1	3	1	1	1	2	1	1	1	3	2	2	1	1	1	0	1	1	1	
48	40	28	20	48	103	26	15	15	24	36	26	57	33	13	21	12	33	3	16	16	
32	24	19	56	14	75	98	106	24	37	25	19	28	32	16	33	12	
25	20	17	116	12	78	121	20	45	44	27	26	23	16	26	30	12	
17	20	123	63	98	121	14	45	31	26	17	11	18	14	25	19	
24	17	28	140	58	101	124	6	50	54	19	16	16	12	12	
38	16	131	56	106	132	73	39	27	16	15	16	14	6	
38	74	131	64	94	138	46	30	16	12	18	6	17	
42	83	133	66	107	139	50	22	16	16	15	4	
49	111	124	60	107	156	49	16	26	
40	122	162	60	112	132	51	7	24	
40	130	166	56	107	146	51	22	
40	130	166	39	118	150	49	22	
33	126	177	42	115	152	49	20	
44	123	185	42	102	153	51	12	
46	115	199	42	99	163	52	
39	125	194	40	111	159	51	
42	121	195	34	107	167	51	
46	119	202	31	103	166	49	
59	119	187	31	95	173	58	
65	121	189	30	91	174	47	
67	112	192	26	99	180	46	
67	110	194	36	98	181	33	
48	110	202	29	115	184	34	
51	112	198	186	119	29	28	
48	116	193	119	192	28	26	
43	114	201	133	187	24	24	
40	119	194	127	182	28	27	
32	105	212	139	177	24	29	
37	104	222	141	177	14	33	
22	110	238	138	183	34	
24	106	243	131	183	37	
20	107	268	130	181	26	
22	101	274	118	193	24	
22	100	297	127	192	
20	101	291	134	191	
22	104	292	128	194	
27	100	296	123	187	
22	102	293	131	188	
14	100	297	136	185	
91	304	184	143	7	
154	181	333	76	
85	155	172	331	
154	166	342	80	
167	166	335	78	
165	157	346	73	
177	156	344	70	
170	163	343	70	
186	336	152	66	
187	334	153	71	
169	347	156	68	
353	167	155	71	
351	173	147	72	
341	162	158	82	
348	149	158	86	
342	149	165	86	
349	163	151	80	
353	163	156	75	
371	160	156	64	
395	153	146	51	
406	150	146	46	
412	145	150	44	
412	149	138	50	
412	52	144	141	
417	52	140	143	
416	45	143	145	
408	56	143	143	
422	144	134	52	
422	149	135	45	
427	140	139	47	
417	140	148	48	
429	139	143	36	
426	144	134	40	
442	142	131	38	
445	137	132	37	
459	139	127	25	
467	147	117	22	
465	147	119	22	
474	146	121	14	
491	147	114	
492	140	125	
502	136	120	
501	130	122	
507	124	123	
514	128	122	
501	131	126	
494	133	131	
491	136	128	
485	134	140	
489	131	133	
124	490	150	
121	490	146	
113	492	155	
106	487	155	
101	501	151	
98	504	152	
91	515	146	
93	520	147	
83	520	162	
155	525	82	
520	161	82	
516	152	92	
510	157	91	
504	160	89	
517	161	84	
525	151	83	
521	148	84	
525	146	86	
522	140	85	
516	149	95	
522	149	93	
518	145	91	
510	142	96	
524	141	92	
529	126	92	2	
533	129	96	
529	133	93	
535	123	93	
534	129	83	
541	129	90	
532	139	93	
535	134	89	
535	137	88	
530	138	95	
528	135	88	
538	145	80	
532	139	78	
521	150	79	
535	153	70	
536	155	69	
533	154	67	
538	151	69	
542	152	67	
539	147	64	
539	153	67	
538	150	76	
547	143	69	
553	139	74	
547	141	69	
551	138	76	
547	144	70	
548	146	66	
551	140	75	
552	131	76	
558	129	78	
563	78	124	
566	80	111	
563	82	113	
563	80	113	
569	82	110	
567	73	108	
575	80	107	
585	86	96	
595	78	89	
590	79	95	
582	101	74	
583	104	75	
593	64	93	
598	59	94	
589	69	97	
600	96	65	
594	107	65	
592	111	59	
595	113	56	
592	119	47	
591	113	45	
596	121	47	
593	119	42	
592	128	43	
590	135	36	
586	129	40	
590	130	40	
600	124	38	
599	132	33	
599	133	33	
601	137	26	
601	142	24	
601	137	26	
604	134	27	
601	133	24	3	
612	130	26	
612	135	19	
609	137	20	
611	144	14	
615	139	16	
618	150	
616	149	
608	162	
608	156	1	
607	162	
610	159	
613	161	
613	154	
610	156	
599	164	1	
603	163	
599	173	
596	178	
600	176	
587	179	
590	175	
591	171	
582	179	
599	171	
592	166	
603	164	
605	164	
608	162	2	
602	168	
598	170	
600	175	
606	172	
596	175	
606	167	
611	170	
605	174	
604	167	
604	169	
614	160	
609	157	
613	158	
620	158	
612	150	
616	152	
615	143	
633	138	
624	149	
626	143	
624	149	
611	156	
610	155	
619	154	
616	158	
609	157	
607	161	
599	170	
604	166	
598	168	
594	173	
599	163	
606	162	
615	156	
625	148	
618	147	
624	143	
628	148	
624	149	
614	147	
622	152	
628	136	
628	141	
638	128	
639	131	
641	129	
639	129	
641	131	
643	132	
634	132	
638	130	
645	119	
640	128	
646	129	
650	125	0	
651	127	
651	123	
647	121	
652	125	
646	115	
658	105	
656	111	
658	117	
652	116	
660	114	
660	106	
663	106	
666	113	
670	100	
669	102	
676	93	
679	96	
682	93	
679	95	
678	95	
685	92	
671	94	
688	92	
683	93	
686	93	
685
